Udsagn,DISC,reverse,test
Jeg handler hurtigt selvom andre stopper op,D,FALSE,FALSE
Jeg giver hellere andre plads til styring,D,TRUE,FALSE
Jeg lader ofte tingene køre for længe inden jeg tager aktion,D,TRUE,FALSE
Jeg er ofte længe om at tage beslutninger,D,TRUE,FALSE
Jeg udfordrer beslutninger selvom det kan skabe uro,D,FALSE,FALSE
Jeg handler hellere fremfor at fokusere på detaljer,D,FALSE,FALSE
Jeg giver ofte plads til andre og lader dem gerne styre,D,TRUE,FALSE
Jeg træffer hurtige beslutninger fremfor grundig analyse,D,FALSE,FALSE
Jeg vælger tempo mere end grundighed for at få fremdrift,D,FALSE,FALSE
Jeg konfronterer gerne og tager gerne konflikten,D,FALSE,FALSE
"Jeg elsker tempo, og accepterer, at nogle ikke kan følge med",D,FALSE,FALSE
"Jeg styrer samtaler, selvom andre kan føle sig overhørt",D,FALSE,FALSE
"Jeg sætter retningen, selv om andre ikke er enige",D,FALSE,FALSE
"Jeg presser ikke andre, selv når jeg kunne",D,TRUE,FALSE
"Jeg overvejer længe, før jeg beslutter mig",D,TRUE,FALSE
"Jeg bryder ind, selv når det forstyrrer andre",D,FALSE,FALSE
"Jeg tager styring, selvom det kan skabe modstand",D,FALSE,FALSE
"Jeg holder tempoet, selv når andre stopper op",D,FALSE,FALSE
"Jeg tager ansvar, selvom jeg mangler tiden",D,FALSE,FALSE
"Jeg beslutter hurtigt, selvom jeg mangler viden",D,FALSE,FALSE
"Jeg driver tingene fremad, selvom andre taber momentum",D,FALSE,FALSE
"Jeg overtager styringen, selvom det ikke altid er nødvendigt",D,FALSE,FALSE
Jeg vægter kontrol mere end samarbejde,D,FALSE,FALSE
Jeg udfordrer andre på trods af harmonien,D,FALSE,FALSE
Jeg giver gerne ordet til andre,I,TRUE,FALSE
Jeg nyder at tage kontakt til nye mennesker,I,FALSE,FALSE
Jeg har stor fokus på at skabe en positivt stemning ,I,FALSE,FALSE
"Jeg forsøger at få folk med, selvom de tøver",I,FALSE,FALSE
"Jeg elsker anerkendelse, da det giver mig energi",I,FALSE,FALSE
Jeg holder relationer ved lige med mange mennesker,I,FALSE,FALSE
"Jeg foretrækker at observere, fremfor at være i midtpunkt",I,TRUE,FALSE
"Jeg bruger humor, selv når det ikke forventes",I,FALSE,FALSE
"Jeg deltager gerne i sociale aktiviteter, selvom jeg kunne sig nej",I,FALSE,FALSE
Jeg foretrækker at observere frem for at være i centrum,I,TRUE,FALSE
"Jeg siger helst kun noget, når jeg har relevant at sige",I,TRUE,FALSE
Jeg taler frit - også selv om jeg mangler fakta eller detaljer,I,FALSE,FALSE
Jeg fortæller historier - selvom de kræver noget uddybning,I,FALSE,FALSE
"Jeg søger samarbejde, selvom det kan tage noget tid ",I,FALSE,FALSE
Jeg vægter positiv energi højere end ærlighed,I,FALSE,FALSE
Jeg elsker at motivere og inspirere andre - selvom de ikke har bedt om det,I,FALSE,FALSE
"Jeg skaber optimisme, også når ting kan virke urealistiske",I,FALSE,FALSE
"Jeg siger ja, hvor andre ofte siger nej",I,FALSE,FALSE
"Jeg siger noget, når jeg har noget vigtigt",I,TRUE,FALSE
"Jeg taler kun, når jeg har noget faktuelt at byde ind med",I,TRUE,FALSE
Jeg trives med opmærksomhed og sociale kontakt,I,FALSE,FALSE
"Jeg inddrager alle, selvom det kan tage noget tid",I,FALSE,FALSE
"Jeg søger kontakt, også til nye mennesker",I,FALSE,FALSE
"Jeg fungerer bedst, når jeg taler frit i samvær med andre",I,FALSE,FALSE
"Jeg ændrer kurs hurtigt, hvis situationen kræver det",S,TRUE,FALSE
"Jeg foretrækker stabilitet og tryghed, selvom det kan sænke tempoet",S,FALSE,FALSE
"Jeg bevarer roen, men er afventende, hvis jeg bliver presset",S,FALSE,FALSE
"Jeg prioriterer harmoni, selvom det kan hæmme fremskridt og resultater",S,FALSE,FALSE
"Jeg hjælper andre, selvom det kan sænke egne opgaver og tempe",S,FALSE,FALSE
Jeg accepterer forhandringer langsomt og afventer hvad andre gør,S,FALSE,FALSE
"Jeg undgår at prøve nyt med det samme, selvom jeg ved, at jeg skal være fremme i skoene",S,FALSE,FALSE
"Jeg skifter retning hurtigt, når det kræves.",S,TRUE,FALSE
"Jeg tilpasser mig, selv når jeg føler mig uretfærdigt behandlet.",S,FALSE,FALSE
"Jeg søger tryghed, selvom tempoet og fremdrift kan falde",S,FALSE,FALSE
"Jeg undgår helst konflikter, selvom de kan løse problemer",S,FALSE,FALSE
"Jeg foretrækker et roligt tempo, selvom det kan sænke tempoet",S,FALSE,FALSE
"Jeg holder fast i opgaver, selv når de trækker ud",S,FALSE,FALSE
"Jeg bruger tid på at reflektere, selvom en løsning kan haste",S,FALSE,FALSE
"Jeg kan lide, når ting hurtigt ændrer sig",S,TRUE,FALSE
"Jeg ændrer kurs hurtigt, hvis situationen kræver det.",S,TRUE,FALSE
"Jeg trives, når ting ændrer sig",S,TRUE,FALSE
"Jeg holder fast i vaner, da det skaber noget tryghed",S,FALSE,FALSE
Jeg elsker at gøre op med gamle vaner og prøve nye ting,S,TRUE,FALSE
"Jeg er tålmodig, også selv om en situation kræver handling nu",S,FALSE,FALSE
"Jeg undgår at presse andre, selv når kan være nødvendigt",S,FALSE,FALSE
"Jeg ønsker ofte ro, hvor andre ønsker et højere tempo",S,FALSE,FALSE
"Jeg vælger stabilitet, selv når spænding kan være interessant",S,FALSE,FALSE
Jeg har få relationer i livet - og kunne godt bruge flere,S,FALSE,FALSE
"Jeg følger processer, selvom det kan sænke tempo og tid",C,FALSE,FALSE
"Jeg dobbelttjekker, selv om det gør arbejdet langsommere",C,FALSE,FALSE
"Jeg går nogle gange videre uden at dobbelttjekke, da tiden kan være vigtig",C,TRUE,FALSE
"Jeg fokuserer på detaljer, også når overblikket er under pres",C,FALSE,FALSE
"Jeg afslutter helst en opgave, selv andre opgaver kan være vigtige",C,FALSE,FALSE
"Jeg planlægger, også når det kan hæmme spontanitet",C,FALSE,FALSE
"Jeg beslutter mig hurtigt, selvom jeg kan mangle fakta og detaljer",C,TRUE,FALSE
Jeg fastholder hellere regler og standarder - fremfor at være alt for spontan,C,FALSE,FALSE
"Jeg holder fast i planen, også selvom jeg bliver fristet at nye muligheder",C,FALSE,FALSE
Jeg prioriterer fremdrift over grundighed - specielt når tiden er knap,C,TRUE,FALSE
"Jeg undgår genveje, selv når de kunne være effektive",C,FALSE,FALSE
"Jeg analyserer længe, og mangler at fokusere på at handle",C,FALSE,FALSE
Jeg bruger tjeklister - også selvom opgaven er simpel,C,FALSE,FALSE
"Jeg arbejder systematisk, selvom fleksibilitet  kan være bedre",C,FALSE,FALSE
"Jeg sikrer korrekthed, selvom det forsinker tempoet",C,FALSE,FALSE
"Jeg gennemgår alt, og nyder særligt at få et hurtigt overblik",C,FALSE,FALSE
"Jeg beslutter mig hurtigt, også selvom jeg mangler fakta og detaljer",C,TRUE,FALSE
"Jeg prioriterer fremdrif mere grundighed, når tiden er knap",C,TRUE,FALSE
"Jeg gennemgår alt, også når tiden ikke rækker.",C,FALSE,FALSE
"Jeg prioriterer præcision, selvom tempo kan være vigtig",C,FALSE,FALSE
Jeg prioriterer fremdrift foran detaljer,C,TRUE,FALSE
"Jeg har styr på detaljerne , selvom det ikke er nødvendigt",C,FALSE,FALSE
Jeg fungerer bedst med regler,C,FALSE,FALSE
"Jeg undersøger fakta længe, også selvom hurtie svare kræves",C,FALSE,FALSE
