Udsagn,DISC
Jeg elsker at konkurrere,D
"Jeg trives fantastisk, når jeg er social med andre",I
Jeg nyder ro og tryghed hos mennesker omkring mig,S
"Jeg værdsætter, når jeg har styr på tingene",C
Jeg ønsker ikke at genere eller støde folk,S
Jeg kan lide at tage ansvar og gå forrest,D
Jeg er inspirerende og overbevisende i min måde at kommunikere på,I
Jeg har meget fokus på kvalitet i tingene,C
Struktur er vigtig for at jeg kan nå mine mål,D
"Struktur er vigtig, fordi struktur generelt giver kvalitet",C
"Struktur er godt, men medfølelse for andre er vigtigere",S
Det er mere interessant at dyrke relationer end at bruge tid på struktur,I
Jeg bruger god tid på at træffe beslutninger for at være helt sikker,S
Jeg ønsker at kende detaljerne før jeg træffer mine beslutninger,C
"Jeg er god til at træffe hurtige beslutninger, så vi kan komme videre",D
"Jeg træffer ofte beslutninger, hvis jeg føler de bringer noget positivt med sig",I
Jeg er resultatorienteret,D
Jeg er social,I
Jeg er systematisk,C
Jeg skaber harmoni,S
Jeg viser omsorg,S
Jeg elsker at sætte ting i system og struktur,C
Jeg elsker en god samtale med andre,I
Jeg elsker udfordringer,D
Jeg siger min mening og så er vi videre bagefter,D
Jeg er kritisk overfor fejl,C
Jeg bryder mig ikke om diskussioner,S
Jeg prøver altid at fokusere på det positive i tingene,I
Jeg kan godt lide at inspirere andre,I
Jeg sørger for ro,S
Jeg arbejder godt efter en plan,C
Jeg har et højt arbejdstempo,D
Jeg er meget initiativrig og handlingsorienteret,D
Jeg er meget fokuseret på struktur og kvalitet,C
Jeg er en meget glad og udadvendt person,I
"Jeg er typen, der har fokus på, at andre har det godt og trives",S
Jeg tager sjældent spontane beslutninger,C
Jeg elsker at være spontan,I
"Jeg tager gerne en beslutning, så vi kommer hurtigt videre",D
"Jeg rådfører mig gerne med andre, da det gør min valg mere sikre",S
Handling er vigtigere end snak,D
Korrekthed er vigtigt,C
Socialt samvær er vigtigt,I
Omsorg er vigtigt,S
"Jeg kan godt lide skriftlig kommunikation, da det viser dokumentation",C
Jeg er ikke vild med at være påtrængende overfor andre,S
Jeg giver gerne et kald frem for mails for ikke at sænke tempoet,D
Jeg kan godt blive grebet af en fed samtale med andre,I
"Jeg kan godt bryde en regel, hvis jeg vurderer, at det er bedre for slutresultatet",D
Regler skal følges – det er derfor de er der,C
"Regler er ok, men vigtigst er den menneskelige kontakt",I
"Jeg har det fint med regler, men tryghed og hensyn til andre er vigtigere",S
"Jeg går ikke i konflikt, hvis jeg kan undgå det",S
Jeg netværker meget,I
Jeg kan lide at sætte tempoet,D
Jeg er meget velovervejet og kontrolleret,C
Jeg er god til at skabe en fest,I
Til en god fest skal der være indslag ellers keder jeg mig nemt,D
Jeg er nok mere den afventende og rolige type til en fest,S
Jeg observerer meget andre mennesker til en fest,C
Jeg elsker tjeklister,C
Jeg er en vindertype,D
Jeg elsker harmoni og tryghed,S
Jeg elsker både at give og modtage anerkendelse,I
Jeg deler frit mine tanker,I
Jeg tænker mig hellere om en ekstra gang inden jeg siger noget,S
Jeg vil hellere tale om vigtige ting frem for small talk,D
Jeg er ikke til overfladiske mennesker,C
Jeg har nemt ved at henvende mig til andre mennesker,I
Jeg ser gerne nye mennesker lidt an før jeg bare snakker med dem,C
"Jeg er lidt forsigtig og tilbageholdende, når jeg møder andre mennesker",S
Jeg vil gerne tage teten og gå forrest,D
Jeg er ambitiøs,D
Jeg undersøger tingene ordentligt,C
Jeg værdsætter faste rammer,S
Jeg har mange mennesker omkring mig,I
Jeg elsker at lytte til andre i gruppearbejde,S
Jeg er selv meget aktiv i gruppearbejde,I
Jeg fokuserer på det saglige i gruppearbejde,C
Gruppearbejde kan hurtigt blive kedeligt,D
Administrative rutiner er vigtige for strukturen,C
Administrativt arbejde kan være kedeligt,I
Administrativt arbejde er kun vigtigt for målet,D
"Administrative rutiner er rare, da de skaber noget godt",S
Jeg har nemt ved at blive begejstret og positiv,I
Jeg elsker kvalitet og struktur i tingene,C
Jeg har det bedst med tryghed og ro,S
Jeg elsker at blive stimuleret at nye udfordringer,D
Jeg bryder mig ikke om egoisme,S
"Jeg vil vide, hvilke regler jeg arbejder efter",C
Jeg tager chancer,D
Jeg sørger for den gode stemning,I
Handling vigtigere end snak,D
Omtanke for andre sætter jeg meget højt,S
Jeg elsker god forberedelse,C
Jeg er udadvendt,I
