Udsagn,DISC
Jeg følger gerne regler og procedurer,C
Jeg trives i selskab med mange,I
Jeg er loyal og pålidelig,S
Jeg tager hurtigt beslutninger,D
Jeg værdsætter stabilitet i hverdagen,S
Jeg går målrettet efter resultater,D
Jeg forsøger at motivere andre,I
Jeg lægger vægt på detaljer og præcision,C
Jeg foretrækker forudsigelighed frem for overraskelser,S
Jeg siger min mening klart og tydeligt,D
Jeg er omhyggelig og grundig i mit arbejde,C
Jeg er udadvendt og imødekommende,I
Jeg har styr på regler og struktur,C
Jeg undgår helst konflikter,S
Jeg sætter tempo og driver ting frem,D
Jeg får energi af social kontakt,I
Jeg søger relationer og anerkendelse,I
Jeg arbejder roligt og kontinuerligt,S
Jeg tager styring i gruppesituationer,D
Jeg sikrer kvalitet og orden,C
Jeg er systematisk og kritisk tænkende,C
Jeg er ambitiøs og handlekraftig,D
Jeg er god til at få folk med mig,I
Jeg er tålmodig og støttende,S
Jeg skaber god stemning i teamet,I
Jeg dobbelttjekker for fejl,C
Jeg prioriterer tryghed og samarbejde,S
Jeg presser gerne på for at nå mål,D
Jeg arbejder bedst i kendte rammer,S
Jeg bruger humor i mit arbejde,I
"Jeg handler hurtigt, også under pres",D
Jeg vil helst have klare instruktioner,C
"Jeg ser ofte, hvad andre overser",C
Jeg ønsker harmoni og balance,S
Jeg får ofte folk til at grine,I
Jeg bryder mig ikke om at spilde tid,D
Jeg taler let med fremmede,I
Jeg analyserer før jeg beslutter,C
Jeg kan godt lide konkurrence,D
Jeg har det godt med rutiner,S
"Jeg tager hurtigt kontrol, hvis det kræves",D
Jeg lytter hellere end jeg taler,S
Jeg retter op på fejl og forbedrer,C
Jeg netværker og skaber kontakter,I
Jeg har en høj standard for korrekthed,C
Jeg er direkte og målbevidst,D
Jeg foretrækker at samarbejde i ro,S
Jeg er entusiastisk og inspirerende,I
Jeg er spontan og åben,I
Jeg holder mig til fakta og dokumentation,C
Jeg undgår at skubbe på andre,S
Jeg træffer beslutninger uden tøven,D
Jeg planlægger før jeg handler,C
Jeg tilpasser mig andres tempo,S
Jeg opsøger nye mennesker,I
Jeg har intet imod modstand,D
Jeg bevarer roen i pressede situationer,S
Jeg efterlever standarder og systemer,C
Jeg har let ved smalltalk,I
Jeg siger min mening uden omsvøb,D
Jeg undersøger og dokumenterer,C
Jeg sætter retning og prioriterer,D
Jeg holder fast i det kendte,S
Jeg skaber energi i grupper,I
Jeg bruger ofte mit kropssprog aktivt,I
Jeg læser grundigt før jeg går i gang,C
Jeg værdsætter loyalitet højt,S
Jeg kan godt lide at tage beslutninger alene,D
Jeg sætter pris på klare regler,C
Jeg kan lide at være midtpunkt,I
Jeg har fokus på handling og effektivitet,D
Jeg undgår at presse folk,S
Jeg får energi af andres feedback,I
Jeg skaber tryghed for andre,S
Jeg fordyber mig i opgaver,C
Jeg tager initiativ i svære situationer,D
Jeg sætter en ære i kvalitet,C
Jeg værdsætter samarbejdets ro,S
Jeg er fokuseret på resultater,D
Jeg udtrykker mine følelser åbent,I
Jeg giver folk plads og tid,S
Jeg er ikke bange for at tage en chance,D
Jeg har mange relationer,I
Jeg er forsigtig og metodisk,C
Jeg lægger mærke til små fejl og mangler,C
Jeg bruger ofte mine følelser i kommunikation,I
Jeg handler ofte før andre er klar,D
Jeg foretrækker langsigtede løsninger,S
Jeg tænker kritisk og struktureret,C
Jeg er livlig og begejstret,I
Jeg søger ro og stabilitet,S
Jeg har en stærk vilje,D
Jeg er af natur hjælpsom,S
Jeg nyder sociale begivenheder,I
Jeg vil hellere vinde end forhandle,D
Jeg arbejder systematisk og præcist,C
